battery,method,cycle,date,soh_forecast,ci_lower,ci_upper
String1,local_linear,414,2026-03-02 19:00:01,80.67857142857133,72.73102778289059,88.62611507425207
String1,local_linear,415,2026-03-04 19:00:01,78.85714285714278,70.90959921146204,86.80468650282351
String1,local_linear,416,2026-03-06 19:00:01,77.03571428571422,69.08817064003348,84.98325793139496
String1,local_linear,417,2026-03-08 19:00:01,75.21428571428567,67.26674206860493,83.1618293599664
String1,local_linear,418,2026-03-10 19:00:01,73.39285714285711,65.44531349717637,81.34040078853785
String1,local_linear,419,2026-03-12 19:00:01,71.57142857142856,63.62388492574781,79.5189722171093
String1,local_linear,420,2026-03-14 19:00:01,69.74999999999989,61.80245635431914,77.69754364568062
String1,local_linear,421,2026-03-16 19:00:01,67.92857142857133,59.981027782890585,75.87611507425207
String1,local_linear,422,2026-03-18 19:00:01,66.10714285714278,58.15959921146203,74.05468650282351
String1,local_linear,423,2026-03-20 19:00:01,64.28571428571422,56.338170640033475,72.23325793139496
String1,holt_winters_damped,414,2026-03-02 19:00:01,71.81249430776833,,
String1,holt_winters_damped,415,2026-03-04 19:00:01,65.01701680973197,,
String1,holt_winters_damped,416,2026-03-06 19:00:01,58.2555166991858,,
String1,holt_winters_damped,417,2026-03-08 19:00:01,51.52782408919235,,
String1,holt_winters_damped,418,2026-03-10 19:00:01,44.83376994224887,,
String1,holt_winters_damped,419,2026-03-12 19:00:01,38.1731860660401,,
String1,holt_winters_damped,420,2026-03-14 19:00:01,31.545905109212384,,
String1,holt_winters_damped,421,2026-03-16 19:00:01,24.951760557168804,,
String1,holt_winters_damped,422,2026-03-18 19:00:01,18.39058672788545,,
String1,holt_winters_damped,423,2026-03-20 19:00:01,11.862218767748502,,
String1,weighted_trend,414,2026-03-02 19:00:01,70.25357198221953,,
String1,weighted_trend,415,2026-03-04 19:00:01,66.50714396443905,,
String1,weighted_trend,416,2026-03-06 19:00:01,62.760715946658586,,
String1,weighted_trend,417,2026-03-08 19:00:01,59.01428792887811,,
String1,weighted_trend,418,2026-03-10 19:00:01,55.267859911097645,,
String1,weighted_trend,419,2026-03-12 19:00:01,51.52143189331717,,
String1,weighted_trend,420,2026-03-14 19:00:01,47.7750038755367,,
String1,weighted_trend,421,2026-03-16 19:00:01,44.02857585775622,,
String1,weighted_trend,422,2026-03-18 19:00:01,40.28214783997576,,
String1,weighted_trend,423,2026-03-20 19:00:01,36.53571982219528,,
String2,local_linear,414,2026-03-02 19:00:01,74.14285714285711,59.398396601126024,88.8873176845882
String2,local_linear,415,2026-03-04 19:00:01,71.20238095238096,56.457920410649876,85.94684149411205
String2,local_linear,416,2026-03-06 19:00:01,68.26190476190482,53.51744422017373,83.0063653036359
String2,local_linear,417,2026-03-08 19:00:01,65.32142857142867,50.57696802969758,80.06588911315976
String2,local_linear,418,2026-03-10 19:00:01,62.380952380952294,47.63649183922121,77.12541292268338
String2,local_linear,419,2026-03-12 19:00:01,59.44047619047615,44.69601564874506,74.18493673220723
String2,local_linear,420,2026-03-14 19:00:01,56.5,41.75553945826891,71.24446054173109
String2,local_linear,421,2026-03-16 19:00:01,53.55952380952385,38.815063267792766,68.30398435125494
String2,local_linear,422,2026-03-18 19:00:01,50.619047619047706,35.87458707731662,65.36350816077879
String2,local_linear,423,2026-03-20 19:00:01,47.67857142857133,32.934110886840244,62.42303197030242
String2,holt_winters_damped,414,2026-03-02 19:00:01,56.791547694780654,,
String2,holt_winters_damped,415,2026-03-04 19:00:01,43.96228271317864,,
String2,holt_winters_damped,416,2026-03-06 19:00:01,31.19716405648463,,
String2,holt_winters_damped,417,2026-03-08 19:00:01,18.495870993074085,,
String2,holt_winters_damped,418,2026-03-10 19:00:01,5.858084394980601,,
String2,holt_winters_damped,419,2026-03-12 19:00:01,0.0,,
String2,holt_winters_damped,420,2026-03-14 19:00:01,0.0,,
String2,holt_winters_damped,421,2026-03-16 19:00:01,0.0,,
String2,holt_winters_damped,422,2026-03-18 19:00:01,0.0,,
String2,holt_winters_damped,423,2026-03-20 19:00:01,0.0,,
String2,weighted_trend,414,2026-03-02 19:00:01,54.33001463683585,,
String2,weighted_trend,415,2026-03-04 19:00:01,47.6600292736717,,
String2,weighted_trend,416,2026-03-06 19:00:01,40.99004391050754,,
String2,weighted_trend,417,2026-03-08 19:00:01,34.32005854734339,,
String2,weighted_trend,418,2026-03-10 19:00:01,27.650073184179234,,
String2,weighted_trend,419,2026-03-12 19:00:01,20.980087821015083,,
String2,weighted_trend,420,2026-03-14 19:00:01,14.310102457850931,,
String2,weighted_trend,421,2026-03-16 19:00:01,7.640117094686779,,
String2,weighted_trend,422,2026-03-18 19:00:01,0.9701317315226277,,
String2,weighted_trend,423,2026-03-20 19:00:01,0.0,,
