id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp,cycle_number,is_forecast,forecast_cap_rate1,forecast_date1,forecast_cap_rate2,forecast_date2
5624,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,1.0,2023-09-26 15:08:42,2023-09-26 15:10:08,1.0,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,99.0,100.0,0.0,0.0,53.2,53.0,0.0,0.0,46.4,46.2,0.0,0.0,,,,,,,,,LEAD_ACID,,1,False,,,,
5623,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,2.0,2023-09-28 20:00:01,2023-09-28 20:00:11,0.0,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,52.5,52.3,0.0,0.0,46.5,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,,2,False,,,,
5622,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,3.0,2023-09-30 20:00:01,2023-09-30 20:00:13,0.0,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,52.9,52.7,0.0,0.0,46.3,46.2,0.0,0.0,,,,,,,,,LEAD_ACID,,3,False,,,,
5621,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,4.0,2023-10-02 20:00:01,2023-10-02 20:00:11,0.0,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,53.3,53.1,0.0,0.0,46.5,46.1,0.0,0.0,,,,,,,,,LEAD_ACID,,4,False,,,,
5620,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,5.0,2023-10-04 20:00:01,2023-10-04 20:00:12,0.0,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,52.5,52.2,0.0,0.0,46.5,46.3,0.0,0.0,,,,,,,,,LEAD_ACID,,5,False,,,,
5619,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,6.0,2023-10-06 20:00:01,2023-10-06 20:00:13,0.0,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,53.0,52.9,0.0,0.0,46.2,46.0,0.0,0.0,,,,,,,,,LEAD_ACID,,6,False,,,,
5618,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,7.0,2023-10-08 20:00:01,2023-10-08 20:00:11,0.0,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,52.7,52.6,0.0,0.0,46.2,46.0,0.0,0.0,,,,,,,,,LEAD_ACID,,7,False,,,,
5617,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,8.0,2023-10-10 20:00:01,2023-10-10 20:00:12,0.0,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,53.1,53.0,0.0,0.0,46.4,46.1,0.0,0.0,,,,,,,,,LEAD_ACID,,8,False,,,,
5616,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,9.0,2023-10-13 02:21:05,2023-10-13 05:21:26,180.0,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,67.0,65.0,0.0,0.0,54.9,54.7,0.0,0.0,48.6,48.5,0.0,0.0,,,,,,,,,LEAD_ACID,,9,False,,,,
5615,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,10.0,2023-10-15 20:00:01,2023-10-15 22:08:15,128.0,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,68.0,65.0,0.0,0.0,53.1,52.9,0.0,0.0,48.4,48.3,0.0,0.0,,,,,,,,,LEAD_ACID,,10,False,,,,
5614,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,11.0,2023-10-17 20:00:01,2023-10-17 22:08:24,128.0,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,68.0,65.0,0.0,0.0,53.2,53.0,0.0,0.0,48.5,48.4,0.0,0.0,,,,,,,,,LEAD_ACID,,11,False,,,,
5613,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,12.0,2023-10-19 20:00:01,2023-10-19 22:08:34,128.0,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,68.0,65.0,0.0,0.0,52.7,52.6,0.0,0.0,48.4,48.2,0.0,0.0,,,,,,,,,LEAD_ACID,,12,False,,,,
5612,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,13.0,2023-10-21 20:00:00,2023-10-21 22:11:11,131.0,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,68.0,65.0,0.0,0.0,52.9,52.8,0.0,0.0,48.5,48.3,0.0,0.0,,,,,,,,,LEAD_ACID,,13,False,,,,
5611,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,14.0,2023-10-23 20:00:00,2023-10-23 22:01:26,121.0,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,68.0,65.0,0.0,0.0,53.4,53.2,0.0,0.0,48.4,48.4,0.0,0.0,,,,,,,,,LEAD_ACID,,14,False,,,,
5610,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,15.0,2023-10-25 20:00:00,2023-10-25 22:04:42,124.0,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,68.0,65.0,0.0,0.0,53.0,52.8,0.0,0.0,48.6,48.4,0.0,0.0,,,,,,,,,LEAD_ACID,,15,False,,,,
5609,10.63.43.114,HOV.Jargalant_JargalanHothon_9davharBair_NMD110,16.0,2023-10-27 20:00:01,2023-10-27 22:07:05,127.0,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,68.0,65.0,0.0,0.0,53.3,53.1,0.0,0.0,48.4,48.3,0.0,0.0,,,,,,,,,LEAD_ACID,,16,False,,,,
