id,ip,location,test_no,start_time,end_time,test_type,stop_reason,test_result,end_voltage,avg_current,capacity,temperature,batt_type
202734,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,39,2026-03-10T19:00:03,2026-03-10T22:47:30,Scheduled test,Low capacity,Test normal,45.3,-61.7,233.6,22.0,VRLA12v_LeadAcid
146371,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,38,2026-03-07T19:00:03,2026-03-07T22:29:09,Scheduled test,Low capacity,Test normal,45.1,-65.8,229.1,18.0,VRLA12v_LeadAcid
91382,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,37,2026-03-04T19:00:03,2026-03-04T19:06:33,Scheduled test,Low voltage,Battery alm,44.6,-61.5,6.7,8.0,VRLA12v_LeadAcid
1010,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,1,2026-03-01T19:00:02,2026-03-01T19:05:14,Scheduled test,Low capacity,Test normal,46.0,-59.9,5.2,11.0,VRLA12v_LeadAcid
1011,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,2,2026-02-25T19:00:02,2026-02-25T19:06:04,Scheduled test,Low capacity,Test normal,44.7,-59.7,6.0,8.0,VRLA12v_LeadAcid
1012,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,3,2026-02-22T19:00:02,2026-02-22T19:07:09,Scheduled test,Low capacity,Test normal,46.0,-54.2,6.4,7.0,VRLA12v_LeadAcid
1013,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,4,2026-02-19T19:00:02,2026-02-19T19:08:19,Scheduled test,Low capacity,Test normal,47.0,-50.2,6.9,17.0,VRLA12v_LeadAcid
1014,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,5,2026-02-16T19:00:03,2026-02-16T19:08:20,Scheduled test,Low capacity,Test normal,45.1,-54.3,7.5,11.0,VRLA12v_LeadAcid
1015,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,6,2026-02-13T19:00:03,2026-02-13T19:07:03,Scheduled test,Low capacity,Test normal,46.6,-53.1,6.2,16.0,VRLA12v_LeadAcid
1016,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,7,2026-02-10T19:00:02,2026-02-10T19:06:32,Scheduled test,Low capacity,Test normal,45.6,-55.8,6.0,12.0,VRLA12v_LeadAcid
1017,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,8,2026-02-07T19:00:03,2026-02-07T19:05:59,Scheduled test,Low capacity,Test normal,45.3,-60.4,6.0,7.0,VRLA12v_LeadAcid
1018,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,9,2026-02-03T19:00:03,2026-02-03T19:07:33,Scheduled test,Low capacity,Test normal,45.8,-52.7,6.6,11.0,VRLA12v_LeadAcid
1019,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,10,2026-01-31T19:00:02,2026-01-31T19:06:58,Scheduled test,Low capacity,Test normal,45.9,-54.2,6.3,7.0,VRLA12v_LeadAcid
1020,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,11,2026-01-28T19:00:03,2026-01-28T19:06:21,Scheduled test,Low capacity,Test normal,45.5,-55.5,5.8,5.0,VRLA12v_LeadAcid
1021,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,12,2026-01-25T19:00:02,2026-01-25T19:06:06,Scheduled test,Low capacity,Test normal,45.3,-55.4,5.6,6.0,VRLA12v_LeadAcid
1022,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,13,2026-01-14T19:00:03,2026-01-14T19:06:42,Scheduled test,Low capacity,Test normal,45.4,-55.8,6.2,11.0,VRLA12v_LeadAcid
1023,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,14,2026-01-11T19:00:03,2026-01-11T19:06:27,Scheduled test,Low capacity,Test normal,46.2,-55.4,5.9,7.0,VRLA12v_LeadAcid
1024,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,15,2026-01-07T19:00:03,2026-01-07T19:07:37,Scheduled test,Low capacity,Test normal,45.8,-52.5,6.6,9.0,VRLA12v_LeadAcid
1025,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,16,2026-01-04T19:00:03,2026-01-04T19:06:27,Scheduled test,Low capacity,Test normal,45.7,-58.7,6.3,9.0,VRLA12v_LeadAcid
1026,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,17,2026-01-01T19:00:02,2026-01-01T19:06:49,Scheduled test,Low capacity,Test normal,46.1,-59.0,6.7,7.0,VRLA12v_LeadAcid
1027,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,18,2025-12-29T19:00:02,2025-12-29T19:07:14,Scheduled test,Low capacity,Test normal,45.9,-54.5,6.5,6.0,VRLA12v_LeadAcid
1028,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,19,2025-12-26T19:00:02,2025-12-26T19:09:06,Scheduled test,Low capacity,Test normal,46.1,-55.0,8.3,9.0,VRLA12v_LeadAcid
1029,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,20,2025-12-23T19:00:03,2025-12-23T19:07:31,Scheduled test,Low capacity,Test normal,46.1,-51.0,6.3,7.0,VRLA12v_LeadAcid
1030,10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN,21,2025-12-20T19:00:02,2025-12-20T19:00:24,Scheduled test,Low temperature,Abnormal end,48.0,-45.9,0.3,5.0,VRLA12v_LeadAcid
