id,ip,location,test_no,start_time,end_time,test_type,stop_reason,test_result,end_voltage,avg_current,capacity,temperature,batt_type
185196,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,39,2026-03-09T19:00:00,2026-03-10T00:00:37,Scheduled test,Exceeded time limit,Test normal,49.8,-22.6,113.1,19.0,VRLA12v_LeadAcid
129273,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,38,2026-03-06T19:00:01,2026-03-07T00:00:38,Scheduled test,Exceeded time limit,Test normal,49.5,-21.9,109.3,13.0,VRLA12v_LeadAcid
2389,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,37,2026-03-03T19:00:00,2026-03-04T00:00:40,Scheduled test,Exceeded time limit,Test normal,49.5,-21.1,105.5,6.0,VRLA12v_LeadAcid
2353,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,1,2026-02-28T19:00:00,2026-03-01T00:00:39,Scheduled test,Exceeded time limit,Test normal,49.5,-21.7,108.3,9.0,VRLA12v_LeadAcid
2354,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,2,2026-02-25T19:00:01,2026-02-26T00:00:40,Scheduled test,Exceeded time limit,Test normal,49.6,-21.8,109.0,8.0,VRLA12v_LeadAcid
2355,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,3,2026-02-22T19:00:00,2026-02-23T00:00:38,Scheduled test,Exceeded time limit,Test normal,49.6,-22.3,111.3,9.0,VRLA12v_LeadAcid
2356,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,4,2026-02-19T19:00:01,2026-02-20T00:00:39,Scheduled test,Exceeded time limit,Test normal,49.7,-23.6,117.8,20.0,VRLA12v_LeadAcid
2357,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,5,2026-02-16T19:00:01,2026-02-17T00:00:40,Scheduled test,Exceeded time limit,Test normal,49.5,-23.5,117.6,12.0,VRLA12v_LeadAcid
2358,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,6,2026-02-13T19:00:00,2026-02-14T00:00:38,Scheduled test,Exceeded time limit,Test normal,49.7,-21.6,108.2,14.0,VRLA12v_LeadAcid
2359,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,7,2026-02-10T19:00:00,2026-02-11T00:00:39,Scheduled test,Exceeded time limit,Test normal,49.9,-21.7,108.7,14.0,VRLA12v_LeadAcid
2360,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,8,2026-02-07T19:00:01,2026-02-08T00:00:42,Scheduled test,Exceeded time limit,Test normal,49.5,-22.7,113.3,10.0,VRLA12v_LeadAcid
2361,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,9,2026-02-04T19:00:01,2026-02-05T00:00:38,Scheduled test,Exceeded time limit,Test normal,49.7,-21.6,107.8,8.0,VRLA12v_LeadAcid
2362,10.63.101.104,SBD._20hor_SelhiinAm_IronTowerLLC_TPD55_ULN,10,2026-02-01T19:00:01,2026-02-02T00:00:40,Scheduled test,Exceeded time limit,Test normal,49.9,-21.4,107.1,12.0,VRLA12v_LeadAcid
