id,ip,location,test_no,start_time,end_time,test_type,stop_reason,test_result,end_voltage,avg_current,capacity,temperature,batt_type
166375,10.63.100.226,CHD._3hor_UlsiinIhDelguur_SMP22_ULN,38,2026-03-08T19:00:03,2026-03-08T21:27:11,Timed Self-Check,Low Capacity,Test Result Normal,49.0,-46.8,114.5,21.0,VRLA12v_LeadAcid
110904,10.63.100.226,CHD._3hor_UlsiinIhDelguur_SMP22_ULN,37,2026-03-05T19:00:02,2026-03-05T22:00:24,Timed Self-Check,Exceeded time limit,Test Result Normal,48.4,-47.6,142.8,22.0,VRLA12v_LeadAcid
2317,10.63.100.226,CHD._3hor_UlsiinIhDelguur_SMP22_ULN,1,2026-03-02T19:00:02,2026-03-02T22:00:24,Timed Self-Check,Exceeded time limit,Test Result Normal,48.4,-46.2,138.6,22.0,VRLA12v_LeadAcid
2318,10.63.100.226,CHD._3hor_UlsiinIhDelguur_SMP22_ULN,2,2026-02-27T19:00:02,2026-02-27T22:00:25,Timed Self-Check,Exceeded time limit,Test Result Normal,48.3,-46.5,139.4,21.0,VRLA12v_LeadAcid
2319,10.63.100.226,CHD._3hor_UlsiinIhDelguur_SMP22_ULN,3,2026-02-24T19:00:02,2026-02-24T22:00:23,Timed Self-Check,Exceeded time limit,Test Result Normal,48.5,-46.3,138.9,22.0,VRLA12v_LeadAcid
2320,10.63.100.226,CHD._3hor_UlsiinIhDelguur_SMP22_ULN,4,2026-02-21T19:00:02,2026-02-21T22:00:24,Timed Self-Check,Exceeded time limit,Test Result Normal,49.0,-39.2,117.6,26.0,VRLA12v_LeadAcid
2321,10.63.100.226,CHD._3hor_UlsiinIhDelguur_SMP22_ULN,5,2026-02-18T19:00:02,2026-02-18T22:00:24,Timed Self-Check,Exceeded time limit,Test Result Normal,49.3,-36.3,108.8,23.0,VRLA12v_LeadAcid
2322,10.63.100.226,CHD._3hor_UlsiinIhDelguur_SMP22_ULN,6,2026-02-15T19:00:03,2026-02-15T22:00:24,Timed Self-Check,Exceeded time limit,Test Result Normal,48.5,-44.3,133.0,22.0,VRLA12v_LeadAcid
2323,10.63.100.226,CHD._3hor_UlsiinIhDelguur_SMP22_ULN,7,2026-02-12T19:00:02,2026-02-12T22:00:24,Timed Self-Check,Exceeded time limit,Test Result Normal,48.2,-48.5,145.6,24.0,VRLA12v_LeadAcid
2324,10.63.100.226,CHD._3hor_UlsiinIhDelguur_SMP22_ULN,8,2026-02-09T19:00:01,2026-02-09T21:53:15,Timed Self-Check,Low Capacity,Test Result Normal,48.3,-48.9,141.1,22.0,VRLA12v_LeadAcid
