id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
17779,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,100,2026-02-24 19:00:02,2026-02-24 20:15:47,76,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,80.0,,,,53.98,,,,46.01,,,,684.57,,,,685.36,,,,LEAD_ACID,20.0
17780,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,99,2026-02-22 19:00:02,2026-02-22 20:11:33,72,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,82.0,,,,53.96,,,,45.99,,,,682.83,,,,683.55,,,,LEAD_ACID,20.0
17781,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,98,2026-02-20 19:00:01,2026-02-20 20:23:59,84,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,80.0,,,,53.92,,,,46.14,,,,682.0,,,,682.78,,,,LEAD_ACID,21.0
17782,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,97,2026-02-18 19:00:01,2026-02-18 20:23:55,84,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,80.0,,,,53.96,,,,45.79,,,,681.16,,,,681.94,,,,LEAD_ACID,20.0
17783,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,96,2026-02-16 19:00:01,2026-02-16 20:03:46,64,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,82.0,,,,54.02,,,,45.98,,,,680.38,,,,681.11,,,,LEAD_ACID,19.0
17784,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,95,2026-02-14 19:00:01,2026-02-14 20:05:02,65,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,82.0,,,,53.95,,,,46.02,,,,679.58,,,,680.32,,,,LEAD_ACID,21.0
17785,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,94,2026-02-12 19:00:01,2026-02-12 20:12:58,73,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,80.0,,,,53.99,,,,46.07,,,,678.72,,,,679.53,,,,LEAD_ACID,18.0
17786,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,93,2026-02-10 19:00:01,2026-02-10 20:15:47,76,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,80.0,,,,54.07,,,,45.95,,,,677.86,,,,678.65,,,,LEAD_ACID,17.0
17787,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,92,2026-02-08 19:00:02,2026-02-08 20:19:39,80,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,80.0,,,,54.04,,,,46.17,,,,676.99,,,,677.8,,,,LEAD_ACID,18.0
17788,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,91,2026-02-06 19:00:01,2026-02-06 20:06:52,67,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,80.0,,,,54.01,,,,46.07,,,,676.12,,,,676.93,,,,LEAD_ACID,20.0
17789,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,90,2026-02-04 19:00:01,2026-02-04 20:13:40,74,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,79.0,,,,53.92,,,,45.8,,,,675.23,,,,676.06,,,,LEAD_ACID,21.0
17790,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,89,2026-02-02 19:00:01,2026-02-02 20:15:31,76,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,79.0,,,,53.9,,,,45.98,,,,674.32,,,,675.16,,,,LEAD_ACID,21.0
17791,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,88,2026-01-31 19:00:02,2026-01-31 20:18:18,78,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,79.0,,,,53.98,,,,45.9,,,,673.4,,,,674.25,,,,LEAD_ACID,20.0
17792,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,87,2026-01-29 19:00:01,2026-01-29 20:17:07,77,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,78.0,,,,53.95,,,,46.02,,,,672.46,,,,673.33,,,,LEAD_ACID,21.0
17793,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,86,2026-01-27 19:00:01,2026-01-27 20:06:06,66,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,77.0,,,,53.95,,,,45.9,,,,671.48,,,,672.38,,,,LEAD_ACID,21.0
17794,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,85,2026-01-25 19:00:02,2026-01-25 20:26:33,87,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,77.0,,,,53.95,,,,45.96,,,,670.47,,,,671.41,,,,LEAD_ACID,21.0
17795,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,84,2026-01-23 19:00:02,2026-01-23 20:14:13,74,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,76.0,,,,53.89,,,,45.96,,,,669.45,,,,670.41,,,,LEAD_ACID,21.0
17796,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,83,2026-01-21 19:00:02,2026-01-21 20:26:32,87,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,75.0,,,,54.34,,,,45.95,,,,668.38,,,,669.37,,,,LEAD_ACID,15.0
17797,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,82,2026-01-19 19:00:02,2026-01-19 20:19:19,79,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,75.0,,,,54.65,,,,45.86,,,,667.26,,,,668.27,,,,LEAD_ACID,11.0
17798,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,81,2026-01-17 19:00:02,2026-01-17 20:24:10,84,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,73.0,,,,54.48,,,,45.95,,,,666.08,,,,667.17,,,,LEAD_ACID,12.0
17799,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,80,2026-01-15 19:00:02,2026-01-15 20:35:35,96,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,71.0,,,,54.08,,,,45.92,,,,664.83,,,,666.0,,,,LEAD_ACID,19.0
17800,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,79,2026-01-13 19:00:01,2026-01-13 20:44:53,105,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,70.0,,,,54.08,,,,45.95,,,,663.59,,,,664.77,,,,LEAD_ACID,18.0
17801,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,78,2026-01-11 19:00:02,2026-01-11 20:58:12,118,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,70.0,,,,53.92,,,,45.86,,,,662.33,,,,663.53,,,,LEAD_ACID,22.0
17802,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,77,2026-01-09 19:00:02,2026-01-09 20:45:28,105,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,69.0,,,,54.15,,,,45.98,,,,660.89,,,,662.12,,,,LEAD_ACID,17.0
17803,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,76,2026-01-07 19:00:01,2026-01-07 20:53:31,114,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,69.0,,,,54.07,,,,46.17,,,,659.59,,,,660.82,,,,LEAD_ACID,18.0
17804,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,75,2026-01-05 19:00:01,2026-01-05 20:50:17,110,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,69.0,,,,54.01,,,,46.02,,,,658.3,,,,659.53,,,,LEAD_ACID,21.0
17805,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,74,2026-01-03 19:00:01,2026-01-03 20:53:48,114,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,68.0,,,,53.93,,,,45.89,,,,656.96,,,,658.24,,,,LEAD_ACID,21.0
17806,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,73,2026-01-01 19:00:01,2026-01-01 20:58:39,119,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,67.0,,,,53.83,,,,46.02,,,,655.61,,,,656.91,,,,LEAD_ACID,22.0
17807,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,72,2025-12-30 19:00:01,2025-12-30 20:56:19,116,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,67.0,,,,53.9,,,,45.95,,,,654.24,,,,655.56,,,,LEAD_ACID,21.0
17808,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,71,2025-12-28 19:00:01,2025-12-28 20:54:27,114,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,67.0,,,,53.86,,,,46.07,,,,652.86,,,,654.19,,,,LEAD_ACID,22.0
17809,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,70,2025-12-26 19:00:01,2025-12-26 20:50:09,110,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,66.0,,,,53.9,,,,45.92,,,,651.47,,,,652.8,,,,LEAD_ACID,21.0
17810,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,69,2025-12-24 19:00:01,2025-12-24 20:50:58,111,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,66.0,,,,53.89,,,,46.12,,,,650.06,,,,651.41,,,,LEAD_ACID,22.0
17811,10.63.135.26,ORH.BayanUndur_ErdenetIhdelguur_MP23,68,2025-12-22 19:00:01,2025-12-22 20:57:38,118,SCHEDULED,BATTERY_VOLTAGE,100.0,,,,66.0,,,,53.85,,,,46.14,,,,648.63,,,,650.0,,,,LEAD_ACID,22.0
