id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
7724,10.63.67.3,BGD._11hor_ZuragtRTV_NMD110_ULN,442,2026-02-24 23:00:01,2026-02-24 23:53:37,53,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,66.0,67.0,0.0,0.0,53.3,53.3,0.0,0.0,47.9,47.8,0.0,0.0,,,,,,,,,LEAD_ACID,
7725,10.63.67.3,BGD._11hor_ZuragtRTV_NMD110_ULN,441,2026-02-22 23:00:01,2026-02-22 23:55:46,55,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,66.0,67.0,0.0,0.0,52.8,52.7,0.0,0.0,47.8,47.8,0.0,0.0,,,,,,,,,LEAD_ACID,
7726,10.63.67.3,BGD._11hor_ZuragtRTV_NMD110_ULN,440,2026-02-20 23:00:01,2026-02-20 23:58:29,58,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,66.0,67.0,0.0,0.0,53.6,53.5,0.0,0.0,48.0,48.0,0.0,0.0,,,,,,,,,LEAD_ACID,
7727,10.63.67.3,BGD._11hor_ZuragtRTV_NMD110_ULN,439,2026-02-18 23:00:01,2026-02-18 23:59:31,59,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,66.0,67.0,0.0,0.0,53.2,53.1,0.0,0.0,47.9,47.9,0.0,0.0,,,,,,,,,LEAD_ACID,
7728,10.63.67.3,BGD._11hor_ZuragtRTV_NMD110_ULN,438,2026-02-16 23:00:01,2026-02-16 23:55:34,55,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,66.0,67.0,0.0,0.0,53.3,53.2,0.0,0.0,48.0,47.9,0.0,0.0,,,,,,,,,LEAD_ACID,
7729,10.63.67.3,BGD._11hor_ZuragtRTV_NMD110_ULN,437,2026-02-14 23:00:01,2026-02-14 23:52:00,51,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,66.0,67.0,0.0,0.0,53.6,53.5,0.0,0.0,47.8,47.8,0.0,0.0,,,,,,,,,LEAD_ACID,
7730,10.63.67.3,BGD._11hor_ZuragtRTV_NMD110_ULN,436,2026-02-12 23:00:01,2026-02-12 23:52:14,52,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,66.0,67.0,0.0,0.0,53.0,52.9,0.0,0.0,47.8,47.7,0.0,0.0,,,,,,,,,LEAD_ACID,
7731,10.63.67.3,BGD._11hor_ZuragtRTV_NMD110_ULN,435,2026-02-10 23:00:01,2026-02-10 23:52:27,52,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,66.0,67.0,0.0,0.0,52.7,52.6,0.0,0.0,47.6,47.6,0.0,0.0,,,,,,,,,LEAD_ACID,
7732,10.63.67.3,BGD._11hor_ZuragtRTV_NMD110_ULN,434,2026-02-08 23:00:01,2026-02-08 23:51:22,51,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,66.0,67.0,0.0,0.0,52.8,52.8,0.0,0.0,47.6,47.5,0.0,0.0,,,,,,,,,LEAD_ACID,
7733,10.63.67.3,BGD._11hor_ZuragtRTV_NMD110_ULN,433,2026-02-06 23:00:01,2026-02-06 23:52:03,52,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,66.0,67.0,0.0,0.0,53.7,53.6,0.0,0.0,47.4,47.5,0.0,0.0,,,,,,,,,LEAD_ACID,
