id,ip,location,test_no,start_time,end_time,test_type,stop_reason,test_result,end_voltage,avg_current,capacity,temperature,batt_type
654624,10.63.93.50,UMG.Gurvantes_SGSUurhaiCamp_TPD40,46,2026-03-30T19:00:01,2026-03-30T20:50:51,Scheduled test,Low capacity,Test normal,46.3,-82.1,151.1,26.0,VRLA12v_LeadAcid
587961,10.63.93.50,UMG.Gurvantes_SGSUurhaiCamp_TPD40,45,2026-03-27T19:00:02,2026-03-27T20:47:51,Scheduled test,Low capacity,Test normal,46.2,-82.5,147.7,25.0,VRLA12v_LeadAcid
522786,10.63.93.50,UMG.Gurvantes_SGSUurhaiCamp_TPD40,44,2026-03-24T19:00:01,2026-03-24T20:53:14,Scheduled test,Low capacity,Test normal,46.2,-80.7,151.8,26.0,VRLA12v_LeadAcid
459543,10.63.93.50,UMG.Gurvantes_SGSUurhaiCamp_TPD40,43,2026-03-21T19:00:00,2026-03-21T20:46:16,Scheduled test,Low capacity,Test normal,46.4,-82.9,146.3,27.0,VRLA12v_LeadAcid
377529,10.63.93.50,UMG.Gurvantes_SGSUurhaiCamp_TPD40,42,2026-03-18T19:00:01,2026-03-18T20:44:19,Scheduled test,Low capacity,Test normal,46.7,-83.4,144.5,26.0,VRLA12v_LeadAcid
317240,10.63.93.50,UMG.Gurvantes_SGSUurhaiCamp_TPD40,41,2026-03-15T19:00:01,2026-03-15T20:38:04,Scheduled test,Low capacity,Test normal,46.3,-88.2,143.7,27.0,VRLA12v_LeadAcid
258255,10.63.93.50,UMG.Gurvantes_SGSUurhaiCamp_TPD40,40,2026-03-12T19:00:01,2026-03-12T20:54:13,Scheduled test,Low capacity,Test normal,46.3,-80.3,152.4,28.0,VRLA12v_LeadAcid
200568,10.63.93.50,UMG.Gurvantes_SGSUurhaiCamp_TPD40,39,2026-03-09T19:00:01,2026-03-09T20:49:04,Scheduled test,Low capacity,Test normal,46.6,-79.8,144.6,25.0,VRLA12v_LeadAcid
144252,10.63.93.50,UMG.Gurvantes_SGSUurhaiCamp_TPD40,38,2026-03-06T19:00:01,2026-03-06T20:56:53,Scheduled test,Low capacity,Test normal,46.8,-80.5,156.2,26.0,VRLA12v_LeadAcid
17048,10.63.93.50,UMG.Gurvantes_SGSUurhaiCamp_TPD40,37,2026-03-03T19:00:01,2026-03-03T21:00:29,Scheduled test,Low capacity,Test normal,46.6,-76.8,153.7,38.0,VRLA12v_LeadAcid
