id,ip,location,test_no,start_time,end_time,test_type,stop_reason,test_result,end_voltage,avg_current,capacity,temperature,batt_type
659527,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,46,2026-03-31T20:00:01,2026-03-31T23:00:28,Scheduled test,Exceeded time limit,Test normal,48.6,-35.4,106.3,,VRLA12v_LeadAcid
592728,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,45,2026-03-28T20:00:01,2026-03-28T23:00:29,Scheduled test,Exceeded time limit,Test normal,48.5,-34.3,103.0,,VRLA12v_LeadAcid
527453,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,44,2026-03-25T20:00:00,2026-03-25T23:00:26,Scheduled test,Exceeded time limit,Test normal,48.7,-33.5,100.6,,VRLA12v_LeadAcid
463992,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,43,2026-03-22T20:00:01,2026-03-22T23:00:26,Scheduled test,Exceeded time limit,Test normal,48.5,-31.4,94.2,,VRLA12v_LeadAcid
381879,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,42,2026-03-19T20:00:01,2026-03-19T23:00:27,Scheduled test,Exceeded time limit,Test normal,48.3,-35.1,105.4,,VRLA12v_LeadAcid
321495,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,41,2026-03-16T20:00:01,2026-03-16T23:00:28,Scheduled test,Exceeded time limit,Test normal,48.6,-34.0,101.9,,VRLA12v_LeadAcid
262414,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,40,2026-03-13T20:00:01,2026-03-13T23:00:28,Scheduled test,Exceeded time limit,Test normal,48.5,-34.4,103.3,,VRLA12v_LeadAcid
204626,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,39,2026-03-10T20:00:00,2026-03-10T23:00:26,Scheduled test,Exceeded time limit,Test normal,48.7,-33.7,101.0,,VRLA12v_LeadAcid
148216,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,38,2026-03-07T20:00:01,2026-03-07T23:00:28,Scheduled test,Exceeded time limit,Test normal,48.4,-33.9,101.7,,VRLA12v_LeadAcid
93181,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,37,2026-03-04T20:00:00,2026-03-04T23:00:28,Scheduled test,Exceeded time limit,Test normal,48.4,-33.4,100.2,,VRLA12v_LeadAcid
2796,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,1,2026-03-01T20:00:00,2026-03-01T23:00:28,Scheduled test,Exceeded time limit,Test normal,48.3,-31.3,93.9,,VRLA12v_LeadAcid
2797,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,2,2026-02-26T20:00:00,2026-02-26T23:00:26,Scheduled test,Exceeded time limit,Test normal,47.8,-33.0,99.0,,VRLA12v_LeadAcid
2798,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,3,2026-02-23T20:00:01,2026-02-23T23:00:28,Scheduled test,Exceeded time limit,Test normal,48.4,-30.5,91.6,,VRLA12v_LeadAcid
2799,10.63.103.194,SBD._8hor_Shutis_NomiinSan_MP23_ULN,4,2026-02-20T20:00:00,2026-02-20T23:00:28,Scheduled test,Exceeded time limit,Test normal,48.8,-28.6,85.8,,VRLA12v_LeadAcid
