id,ip,location,test_no,start_time,end_time,test_type,stop_reason,test_result,end_voltage,avg_current,capacity,temperature,batt_type
636289,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,46,2026-03-30T19:00:03,2026-03-30T19:39:54,Timed Self-Check,Low Capacity,Test Result Normal,47.2,-7.5,5.0,16.0,VRLA12v_LeadAcid
570052,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,45,2026-03-27T19:00:03,2026-03-27T19:38:41,Timed Self-Check,Low Capacity,Test Result Normal,47.1,-7.3,4.7,21.0,VRLA12v_LeadAcid
505270,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,44,2026-03-24T19:00:03,2026-03-24T19:40:51,Timed Self-Check,Low Capacity,Test Result Normal,47.2,-7.4,5.0,18.0,VRLA12v_LeadAcid
442542,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,43,2026-03-21T19:00:03,2026-03-21T19:41:50,Timed Self-Check,Low Capacity,Test Result Normal,47.1,-7.4,5.1,12.0,VRLA12v_LeadAcid
360900,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,42,2026-03-18T19:00:02,2026-03-18T19:42:05,Timed Self-Check,Low Capacity,Test Result Normal,47.1,-7.2,5.0,9.0,VRLA12v_LeadAcid
300961,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,41,2026-03-15T19:00:03,2026-03-15T19:38:11,Timed Self-Check,Low Capacity,Test Result Normal,47.3,-7.8,5.0,11.0,VRLA12v_LeadAcid
242324,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,40,2026-03-12T19:00:03,2026-03-12T19:38:27,Timed Self-Check,Low Capacity,Test Result Normal,47.1,-7.9,5.1,7.0,VRLA12v_LeadAcid
185007,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,39,2026-03-09T19:00:03,2026-03-09T19:38:39,Timed Self-Check,Low Capacity,Test Result Normal,47.2,-7.6,4.9,15.0,VRLA12v_LeadAcid
129088,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,38,2026-03-06T19:00:02,2026-03-06T19:40:50,Timed Self-Check,Low Capacity,Test Result Normal,47.3,-7.2,4.9,9.0,VRLA12v_LeadAcid
2208,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,37,2026-03-03T19:00:02,2026-03-03T19:05:55,Timed Self-Check,Low temperature,Abnormal end,49.9,-6.9,0.7,5.0,VRLA12v_LeadAcid
2172,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,1,2026-02-28T19:00:02,2026-02-28T19:38:04,Timed Self-Check,Low Capacity,Test Result Normal,47.4,-7.5,4.8,8.0,VRLA12v_LeadAcid
2173,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,2,2026-02-24T19:00:02,2026-02-24T19:38:25,Timed Self-Check,Low Capacity,Test Result Normal,47.6,-7.5,4.8,8.0,VRLA12v_LeadAcid
2174,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,3,2026-02-20T19:00:03,2026-02-20T19:39:28,Timed Self-Check,Low Capacity,Test Result Normal,47.1,-7.8,5.1,14.0,VRLA12v_LeadAcid
2175,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,4,2026-02-17T19:00:02,2026-02-17T19:03:55,Timed Self-Check,Low temperature,Abnormal end,50.2,-7.1,0.5,5.0,VRLA12v_LeadAcid
2176,10.61.93.196,UMG.Hanhongor_JuulchinGoviResort_MA73,5,2026-02-11T19:00:02,2026-02-11T19:33:32,Timed Self-Check,Low temperature,Abnormal end,49.7,-7.7,4.3,5.0,VRLA12v_LeadAcid
