id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp,avg_current
20091,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,17,2026-03-31T10:00:06,2026-03-31T13:00:15,180,SCHEDULED,MAX_TIME,100.0,100.0,,,75.0,70.0,,,53.51,53.6,,,48.93,49.0,,,148.77,154.96,,,151.22,157.92,,,LEAD_ACID,20.0,36.0
20020,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,16,2026-03-29T10:00:06,2026-03-29T13:00:13,180,SCHEDULED,MAX_TIME,100.0,100.0,,,74.0,70.0,,,53.54,53.61,,,48.87,48.88,,,146.18,152.01,,,148.73,154.91,,,LEAD_ACID,19.0,
19947,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,15,2026-03-27T10:00:07,2026-03-27T13:00:16,180,SCHEDULED,MAX_TIME,100.0,100.0,,,70.0,68.0,,,53.6,53.63,,,48.82,48.86,,,143.2,148.77,,,146.13,151.95,,,LEAD_ACID,19.0,35.4
19870,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,14,2026-03-25T10:00:06,2026-03-25T10:00:36,0,SCHEDULED,POWER_OFF,100.0,100.0,,,100.0,100.0,,,53.5,53.59,,,51.02,51.13,,,134.56,139.95,,,134.56,139.95,,,LEAD_ACID,,40.4
19796,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,13,2026-03-23T10:00:03,2026-03-23T13:00:09,180,SCHEDULED,MAX_TIME,100.0,100.0,,,69.0,66.0,,,53.5,53.56,,,48.68,48.74,,,131.45,136.58,,,134.51,139.9,,,LEAD_ACID,17.0,39.0
19721,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,12,2026-03-21T10:00:06,2026-03-21T13:00:12,180,SCHEDULED,MAX_TIME,100.0,100.0,,,76.0,72.0,,,53.42,53.57,,,49.02,49.08,,,129.08,133.82,,,131.41,136.54,,,LEAD_ACID,18.0,
19644,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,11,2026-03-19T10:00:02,2026-03-19T13:00:09,180,SCHEDULED,MAX_TIME,100.0,100.0,,,74.0,66.0,,,53.6,53.61,,,48.68,48.76,,,122.25,126.43,,,124.83,129.71,,,LEAD_ACID,20.0,
19569,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,10,2026-03-17T10:00:03,2026-03-17T13:00:08,180,SCHEDULED,MAX_TIME,100.0,100.0,,,76.0,65.0,,,53.45,53.57,,,48.5,48.57,,,119.83,122.92,,,122.21,126.38,,,LEAD_ACID,19.0,
19494,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,9,2026-03-15T10:00:03,2026-03-15T13:00:11,180,SCHEDULED,MAX_TIME,100.0,100.0,,,76.0,68.0,,,53.61,53.61,,,48.7,48.79,,,117.4,119.69,,,119.79,122.87,,,LEAD_ACID,19.0,
19418,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,8,2026-03-13T10:00:02,2026-03-13T13:00:08,180,SCHEDULED,MAX_TIME,100.0,100.0,,,75.0,66.0,,,53.51,53.56,,,48.44,48.56,,,114.91,116.3,,,117.36,119.64,,,LEAD_ACID,15.0,
19343,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,7,2026-03-11T10:00:05,2026-03-11T13:00:16,180,SCHEDULED,MAX_TIME,100.0,100.0,,,71.0,66.0,,,53.52,53.56,,,48.6,48.65,,,112.0,112.95,,,114.87,116.25,,,LEAD_ACID,17.0,
19268,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,6,2026-03-09T10:00:01,2026-03-09T13:00:07,180,SCHEDULED,MAX_TIME,100.0,100.0,,,73.0,67.0,,,53.53,53.59,,,48.71,48.75,,,109.34,109.62,,,111.96,112.9,,,LEAD_ACID,17.0,
19190,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,5,2026-03-07T10:00:07,2026-03-07T13:00:12,180,SCHEDULED,MAX_TIME,100.0,100.0,,,76.0,65.0,,,53.48,53.57,,,48.5,48.63,,,106.98,106.19,,,109.3,109.56,,,LEAD_ACID,18.0,
19051,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,4,2026-03-05T10:00:04,2026-03-05T13:00:15,180,SCHEDULED,MAX_TIME,100.0,100.0,,,73.0,66.0,,,53.55,53.49,,,48.39,48.46,,,104.34,102.79,,,106.94,106.13,,,LEAD_ACID,14.0,
18990,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,3,2026-03-03T10:00:02,2026-03-03T13:00:08,180,SCHEDULED,MAX_TIME,100.0,100.0,,,74.0,67.0,,,53.46,53.53,,,48.37,48.43,,,101.72,99.55,,,104.3,102.73,,,LEAD_ACID,12.0,
18929,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,2,2026-03-01T10:00:03,2026-03-01T13:00:12,180,SCHEDULED,MAX_TIME,100.0,100.0,,,74.0,67.0,,,53.43,53.61,,,48.52,48.57,,,99.1,96.32,,,101.68,99.5,,,LEAD_ACID,12.0,
18873,10.63.171.42,SEL.Mandal_ZuunharaaPolitechnicalCollage_MP25,1,2026-02-27T21:59:24,2026-02-28T00:59:32,180,SCHEDULED,MAX_TIME,100.0,100.0,,,74.0,66.0,,,53.57,53.66,,,48.48,48.56,,,96.49,92.96,,,99.06,96.25,,,LEAD_ACID,,
