id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp,avg_current
20085,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,17,2026-03-31T19:00:01,2026-03-31T22:00:02,180,SCHEDULED,MAX_TIME,100.0,100.0,,,85.0,85.0,,,52.94,52.94,,,49.44,49.42,,,85.22,85.24,,,86.36,86.37,,,LEAD_ACID,,12.6
20014,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,16,2026-03-29T19:00:01,2026-03-29T22:00:03,180,SCHEDULED,MAX_TIME,100.0,100.0,,,83.0,83.0,,,52.97,52.94,,,49.58,49.58,,,83.73,83.74,,,84.96,84.98,,,LEAD_ACID,,
19941,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,15,2026-03-27T19:00:01,2026-03-27T22:00:03,180,SCHEDULED,MAX_TIME,100.0,100.0,,,84.0,84.0,,,52.82,52.84,,,49.47,49.49,,,82.3,82.32,,,83.47,83.49,,,LEAD_ACID,,14.3
19864,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,14,2026-03-25T19:00:01,2026-03-25T22:00:03,180,SCHEDULED,MAX_TIME,100.0,100.0,,,84.0,84.0,,,52.84,52.85,,,49.54,49.55,,,80.85,80.87,,,82.04,82.06,,,LEAD_ACID,,16.1
19790,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,13,2026-03-23T19:00:02,2026-03-23T22:00:04,180,SCHEDULED,MAX_TIME,100.0,100.0,,,82.0,82.0,,,52.89,52.88,,,49.3,49.29,,,79.21,79.23,,,80.57,80.59,,,LEAD_ACID,,15.9
19715,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,12,2026-03-21T19:00:01,2026-03-21T22:00:02,180,SCHEDULED,MAX_TIME,100.0,100.0,,,84.0,84.0,,,52.95,52.92,,,49.49,49.48,,,77.73,77.75,,,78.96,78.97,,,LEAD_ACID,,
19638,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,11,2026-03-19T19:00:02,2026-03-19T22:00:03,180,SCHEDULED,MAX_TIME,100.0,100.0,,,86.0,86.0,,,52.98,52.98,,,49.8,49.85,,,76.41,76.43,,,77.47,77.49,,,LEAD_ACID,,
19563,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,10,2026-03-17T19:00:01,2026-03-17T22:00:03,180,SCHEDULED,MAX_TIME,100.0,100.0,,,85.0,85.0,,,53.03,53.03,,,49.58,49.55,,,75.03,75.05,,,76.18,76.19,,,LEAD_ACID,,
19488,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,9,2026-03-15T19:00:02,2026-03-15T22:00:04,180,SCHEDULED,MAX_TIME,100.0,100.0,,,86.0,86.0,,,52.98,52.97,,,49.6,49.61,,,73.73,73.74,,,74.81,74.83,,,LEAD_ACID,,
19412,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,8,2026-03-13T19:00:01,2026-03-13T22:00:02,180,SCHEDULED,MAX_TIME,100.0,100.0,,,85.0,85.0,,,53.04,53.03,,,49.57,49.57,,,72.34,72.36,,,73.47,73.49,,,LEAD_ACID,,
19337,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,7,2026-03-11T19:00:01,2026-03-11T22:00:03,180,SCHEDULED,MAX_TIME,100.0,100.0,,,84.0,84.0,,,53.25,53.27,,,49.58,49.57,,,70.91,70.93,,,72.11,72.12,,,LEAD_ACID,,
19262,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,6,2026-03-09T19:00:02,2026-03-09T22:00:04,180,SCHEDULED,MAX_TIME,100.0,100.0,,,84.0,84.0,,,53.1,53.1,,,49.73,49.73,,,69.5,69.52,,,70.68,70.7,,,LEAD_ACID,,
19184,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,5,2026-03-07T19:00:01,2026-03-07T22:00:03,180,SCHEDULED,MAX_TIME,100.0,100.0,,,83.0,83.0,,,53.16,53.17,,,49.47,49.45,,,68.0,68.01,,,69.26,69.27,,,LEAD_ACID,,
19045,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,4,2026-03-05T19:00:01,2026-03-05T22:00:02,180,SCHEDULED,MAX_TIME,100.0,100.0,,,86.0,86.0,,,53.22,53.19,,,49.71,49.77,,,66.75,66.76,,,67.76,67.78,,,LEAD_ACID,,
18984,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,3,2026-03-03T10:00:01,2026-03-03T13:00:03,180,SCHEDULED,MAX_TIME,100.0,100.0,,,86.0,86.0,,,53.27,53.27,,,49.67,49.67,,,65.45,65.46,,,66.48,66.5,,,LEAD_ACID,,
18923,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,2,2026-03-01T10:00:01,2026-03-01T13:00:03,180,SCHEDULED,MAX_TIME,100.0,100.0,,,86.0,86.0,,,53.27,53.3,,,49.88,49.86,,,64.15,64.16,,,65.22,65.24,,,LEAD_ACID,,
18869,10.63.121.2,HUD._4hor_MandalaGarden_1489bair_MP24_ULN,1,2026-02-27T22:03:06,2026-02-28T01:03:08,180,SCHEDULED,MAX_TIME,100.0,100.0,,,86.0,86.0,,,53.27,53.27,,,49.99,50.05,,,62.94,62.96,,,63.99,64.0,,,LEAD_ACID,,
